,miR-10-5p,miR-135ab-5p,miR-218-5p,miR-190-5p,miR-193-3p,miR-33-5p,miR-182-5p,miR-362-5p,miR-23-3p,miR-18-5p,miR-18-3p/7069-3p,miR-194-2-3p/6926-5p/7055-5p,miR-130-3p/301-3p,miR-103-3p/107-3p,miR-205-5p,miR-183-3p,miR-7-5p,miR-423-3p,miR-501-5p,miR-185-5p,miR-423-5p,miR-26-5p,miR-147-3p,miR-484,miR-378-3p,miR-22-3p,miR-652-3p,miR-374b-5p,miR-210-3p,miR-194-5p,miR-192-5p/215-5p,miR-196-5p,miR-324-3p,miR-27-3p,miR-141-3p,miR-1198-5p,miR-19-3p,miR-183-5p,let-7-5p/miR-98-5p,miR-200-3p/429-3p,miR-3081-3p,miR-125ab-5p/351-5p,miR-28-3p,miR-181-5p,miR-151-3p,miR-24-3p,miR-96-5p,miR-186-5p,miR-425-5p/489-3p,miR-17-5p/20-5p/93-5p/106-5p,miR-21ac-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,miR-25-3p/32-5p/92-3p/363-3p/367-3p,miR-141-5p/6769b-3p,miR-16-1-3p,miR-200ab-5p,miR-191-5p,miR-221-3p/222-3p,miR-139-5p,miR-140-5p,miR-139-3p,miR-30-5p/384-5p,miR-340-5p,miR-181a-1-3p/181c-3p,miR-34-5p/449-5p,miR-106-3p,miR-671-5p,miR-30a-3p/30d-3p/30e-3p,miR-29-3p,miR-345-5p,miR-328-3p,miR-361-5p,let-7d-3p,miR-375-3p,miR-148-3p/152-3p,miR-153-3p,miR-146ab-5p,miR-31-5p,miR-132-3p/212-3p,miR-99-5p/100-5p,miR-28-5p/708-5p
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRM,,,,,,,,,NR3C2,KLF3,,,,,,MYBBP1A,,,,PPP1R9A,,TNPO3,,,,,,,,,,,,,,,,,EIF4H,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZDHHC21,,,,,,,,,NDUFB7,DCUN1D4,,,,,,RNF213,,,,CCSER1,,HOXA10,,,,,,,,,,,,,,,,,TNRC18,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRI,,,,,,,,,MAN2B1,ANXA3,,,,,,HN1,,,,GNG12,,VAMP8,,,,,,,,,,,,,,,,,COL1A2,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHTF2,,,,,,,,,NLRC5,TAOK3,,,,,,SLC26A3,,,,MOB1A,,MAT2A,,,,,,,,,,,,,,,,,GPRC5A,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAD9B,,,,,,,,,ADGRG1,SEC31A,,,,,,AREL1,,,,TGFA,,REG3G,,,,,,,,,,,,,,,,,PDE3A,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUP205,,,,,,,,,NFAT5,ULK1,,,,,,SLC35D2,,,,KLF15,,HK2,,,,,,,,,,,,,,,,,UBE2H,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMD9L,,,,,,,,,PHLPP2,KCTD10,,,,,,COG3,,,,IRAK2,,LRIG1,,,,,,,,,,,,,,,,,KDM3A,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASL,,,,,,,,,PDPR,ATP2A2,,,,,,TUBA1C,,,,ING4,,FOXP1,,,,,,,,,,,,,,,,,MXD1,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABHD2,,,,,,,,,HSD17B2,SMARCAD1,,,,,,OSMR,,,,PLEKHA5,,C12orf57,,,,,,,,,,,,,,,,,RET,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRC1,,,,,,,,,PARD3,TNFRSF1A,,,,,,VPS28,,,,CHCHD3,,IPO8,,,,,,,,,,,,,,,,,BBC3,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACADSB,,,,,,,,,INSR,KDM3A,,,,,,CXADR,,,,SLC35B4,,MYADM,,,,,,,,,,,,,,,,,ZDHHC13,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA2,,,,,,,,,IRS2,TET3,,,,,,PKDCC,,,,CNOT4,,KCNN4,,,,,,,,,,,,,,,,,AKAP13,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEATR3,,,,,,,,,CNOT7,PAIP2B,,,,,,FAM234A,,,,SFXN5,,CIC,,,,,,,,,,,,,,,,,SEMA4B,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASAH1,,,,,,,,,MTMR7,FRMD4B,,,,,,BRD2,,,,LRIG1,,NOSIP,,,,,,,,,,,,,,,,,CD81,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATXN1L,,,,,,,,,SNX25,KRAS,,,,,,XDH,,,,CCND2,,SEMA4B,,,,,,,,,,,,,,,,,ZFP36,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRF2BP2,,,,,,,,,PSD3,AKT2,,,,,,STRN,,,,LRP6,,UBFD1,,,,,,,,,,,,,,,,,MED25,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNM2,,,,,,,,,UPF1,UBFD1,,,,,,CTNNA1,,,,NLRP9,,MAPK3,,,,,,,,,,,,,,,,,CAPN5,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMG20A,,,,,,,,,N4BP1,RPL13A,,,,,,CEP120,,,,LAMTOR1,,CD151,,,,,,,,,,,,,,,,,DHX32,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAM10,,,,,,,,,ZCCHC14,DGAT2,,,,,,SEMA4G,,,,UBFD1,,MUC2,,,,,,,,,,,,,,,,,COL4A2,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF111,,,,,,,,,MVD,RNF169,,,,,,MALAT1,,,,TNRC6A,,RDH13,,,,,,,,,,,,,,,,,CYB5B,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAM63B,,,,,,,,,VSTM5,ZDHHC2,,,,,,ABLIM1,,,,AQP8,,CLASRP,,,,,,,,,,,,,,,,,SPRTN,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHIP,,,,,,,,,DDX6,ATP6V1B2,,,,,,ITGA6,,,,ZRANB1,,RABAC1,,,,,,,,,,,,,,,,,ITGB1,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBC1D2B,,,,,,,,,ALG9,NR3C2,,,,,,ENTPD6,,,,SDHAF1,,CAPNS1,,,,,,,,,,,,,,,,,CLDN23,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NXT2,,,,,,,,,RDX,OTUD4,,,,,,CTNND1,,,,GPI,,KMT2B,,,,,,,,,,,,,,,,,SMPD3,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RCC1,,,,,,,,,SCAMP2,HEATR3,,,,,,EPS8L3,,,,MYH14,,NUDT19,,,,,,,,,,,,,,,,,SLC7A5,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGST2,,,,,,,,,IGDCC4,GOLGA7,,,,,,PTGFRN,,,,SPTY2D1,,SAA1,,,,,,,,,,,,,,,,,ANKRD11,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF280D,N4BP1,,,,,,RBM15,,,,ECHS1,,TSKU,,,,,,,,,,,,,,,,,H2AFX,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO6,TOX3,,,,,,METAP1,,,,SIRT3,,EIF3C,,,,,,,,,,,,,,,,,ARPP19,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRN1,GLG1,,,,,,DNAJB5,,,,CCND1,,ALDOA,,,,,,,,,,,,,,,,,CMTM6,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QARS,VSTM5,,,,,,ARHGEF16,,,,PROSC,,SEPHS2,,,,,,,,,,,,,,,,,CTNNB1,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCC1,NFRKB,,,,,,MRPL33,,,,TBC1D9,,PLAT,,,,,,,,,,,,,,,,,UBE4A,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMPPE,GCLC,,,,,,LMTK2,,,,PSD3,,SH3RF1,,,,,,,,,,,,,,,,,MAPK6,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIPR1,NT5E,,,,,,ARPC1A,,,,GAB1,,MT3,,,,,,,,,,,,,,,,,IBTK,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAMTS15,AMOTL2,,,,,,NOP14,,,,AKTIP,,TANGO6,,,,,,,,,,,,,,,,,PLS1,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACAT1,WDR82,,,,,,SDAD1,,,,LDLR,,ITGB1,,,,,,,,,,,,,,,,,ALAS1,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMAD6,RHOA,,,,,,CDX2,,,,PRDM10,,CLCN3,,,,,,,,,,,,,,,,,GNAI2,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HACD3,PRKAR2A,,,,,,HK2,,,,FBXO22,,GDF15,,,,,,,,,,,,,,,,,UPRT,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMA7,IP6K2,,,,,,EXOC6B,,,,RBP1,,B3GNT3,,,,,,,,,,,,,,,,,NKRF,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBEAL2,CDC25A,,,,,,GUCY2C,,,,VPRBP,,CNOT1,,,,,,,,,,,,,,,,,CUL4B,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OXSR1,APLP2,,,,,,BBC3,,,,HYAL2,,IST1,,,,,,,,,,,,,,,,,AMER1,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT-RNR1,TBCEL,,,,,,FCGBP,,,,IP6K2,,ANKRD11,,,,,,,,,,,,,,,,,XIST,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM6A,ZC3H12C,,,,,,NDUFC2,,,,EFNB1,,DDX6,,,,,,,,,,,,,,,,,MAGT1,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MED14,MYZAP,,,,,,ACADSB,,,,TMEM164,,SEMA7A,,,,,,,,,,,,,,,,,BRWD3,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MECP2,TBC1D8B,,,,,,ACTN4,,,,G6PD,,PARP16,,,,,,,,,,,,,,,,,MORF4L2,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZDHHC15,FANCB,,,,,,IFITM2,,,,MPP1,,ZNF280D,,,,,,,,,,,,,,,,,AMOT,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLA,LAMP2,,,,,,DEAF1,,,,AGFG1,,PLSCR1,,,,,,,,,,,,,,,,,CAB39,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC44A5,FAM168B,,,,,,RAB11FIP1,,,,DSTYK,,AMOTL2,,,,,,,,,,,,,,,,,SEPT2,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDH10,IDH1,,,,,,TNKS,,,,MFSD4,,PRKAR2A,,,,,,,,,,,,,,,,,F11R,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMP4,CFH,,,,,,CLCN3,,,,BTG2,,SHISA5,,,,,,,,,,,,,,,,,PIGM,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COX5B,FH,,,,,,TAF1D,,,,SBNO2,,TMEM45B,,,,,,,,,,,,,,,,,EPRS,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPP2,SMARCC2,,,,,,CLDN15,,,,APPL2,,UBE4A,,,,,,,,,,,,,,,,,MGAT4A,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BZW1,SLC25A3,,,,,,,,,,MARS,,GCNT3,,,,,,,,,,,,,,,,,CNPPD1,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASP8,USP15,,,,,,,,,,ATP10B,,POLR2M,,,,,,,,,,,,,,,,,SCML4,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRRFIP1,MGAT1,,,,,,,,,,GNB2L1,,EEF1A1,,,,,,,,,,,,,,,,,PCMT1,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNPEPL1,SRSF1,,,,,,,,,,SEC24A,,IBTK,,,,,,,,,,,,,,,,,ZDHHC17,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNFRSF11A,PUM2,,,,,,,,,,LAMB1,,ATP1B3,,,,,,,,,,,,,,,,,MSL1,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGAT5,ODC1,,,,,,,,,,KLF6,,OGT,,,,,,,,,,,,,,,,,PRKAR1A,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGR,TC2N,,,,,,,,,,HIST1H3G,,CHIC1,,,,,,,,,,,,,,,,,CANX,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHA6,SMIM15,,,,,,,,,,MYLIP,,CLDN2,,,,,,,,,,,,,,,,,SPARC,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIPOR1,FARP1,,,,,,,,,,GPR137B,,HUWE1,,,,,,,,,,,,,,,,,RHOB,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTPN14,ASAP1,,,,,,,,,,PRR5,,RPS6KA3,,,,,,,,,,,,,,,,,DICER1,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTS7,LITAF,,,,,,,,,,ACVR1B,,RAP2C,,,,,,,,,,,,,,,,,BCL2L2,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF3,TTC7A,,,,,,,,,,ACAT2,,XIST,,,,,,,,,,,,,,,,,KHNYN,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGAT4A,ROCK1,,,,,,,,,,FBXL17,,KIF21B,,,,,,,,,,,,,,,,,RICTOR,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNPPD1,STARD4,,,,,,,,,,MALAT1,,ARFGEF1,,,,,,,,,,,,,,,,,SKP2,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIP12,ADRB2,,,,,,,,,,RPS6KA4,,SFT2D2,,,,,,,,,,,,,,,,,AGO2,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVL,RAB27B,,,,,,,,,,GDA,,EEF2,,,,,,,,,,,,,,,,,FAM83H,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASCC3,SLK,,,,,,,,,,ABTB2,,AIM1,,,,,,,,,,,,,,,,,FSTL1,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2G2,SHTN1,,,,,,,,,,PCIF1,,CPEB4,,,,,,,,,,,,,,,,,DGCR8,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDN,TAF3,,,,,,,,,,CTNND1,,FSTL4,,,,,,,,,,,,,,,,,NRIP1,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGAT4C,NR6A1,,,,,,,,,,DDAH1,,VEZF1,,,,,,,,,,,,,,,,,TAPBP,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAT2,SECISBP2L,,,,,,,,,,CYB561D1,,SLC25A10,,,,,,,,,,,,,,,,,TUBB,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNFAIP3,MBNL1,,,,,,,,,,RAB2A,,ASPSCR1,,,,,,,,,,,,,,,,,CTNNA1,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCU,CSDE1,,,,,,,,,,UNC13B,,SEC24A,,,,,,,,,,,,,,,,,AQP4,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLRMT,DDAH1,,,,,,,,,,PRKCZ,,PRR11,,,,,,,,,,,,,,,,,YIPF5,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CKAP4,FUBP1,,,,,,,,,,RNF4,,NFE2L1,,,,,,,,,,,,,,,,,STX3,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APAF1,CYB561D1,,,,,,,,,,TAOK3,,RAB15,,,,,,,,,,,,,,,,,PPP2R4,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELK3,TP53INP1,,,,,,,,,,TMEM86A,,HMGCS1,,,,,,,,,,,,,,,,,ABL1,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCT2,CASZ1,,,,,,,,,,ZNF551,,ERBB2IP,,,,,,,,,,,,,,,,,TANC1,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMGA2,TLN1,,,,,,,,,,RRAS2,,REEP4,,,,,,,,,,,,,,,,,ITGA6,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RASSF3,AGO3,,,,,,,,,,OTUD4,,SLMAP,,,,,,,,,,,,,,,,,CKAP5,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARS,ZDHHC18,,,,,,,,,,DPAGT1,,CRYL1,,,,,,,,,,,,,,,,,ZNF106,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGKA,RPS6KA1,,,,,,,,,,DPY19L1,,FAM160B2,,,,,,,,,,,,,,,,,SIKE1,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METTL7B,AKAP9,,,,,,,,,,PPP2R3A,,H1F0,,,,,,,,,,,,,,,,,NANS,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSME4,CCNG2,,,,,,,,,,XIAP,,GTPBP1,,,,,,,,,,,,,,,,,AK4,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGS,PTPN12,,,,,,,,,,HIST1H2AJ,,NAGA,,,,,,,,,,,,,,,,,RERE,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM25,NUP205,,,,,,,,,,,,USP25,,,,,,,,,,,,,,,,,PNRC1,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL1A1,EDEM1,,,,,,,,,,,,DGCR2,,,,,,,,,,,,,,,,,TXN,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF652,PRDX2,,,,,,,,,,,,SIDT1,,,,,,,,,,,,,,,,,AGO1,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERBB2,ARL2BP,,,,,,,,,,,,SRRM2,,,,,,,,,,,,,,,,,GJB3,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSL1,GAB1,,,,,,,,,,,,TAP1,,,,,,,,,,,,,,,,,ZCCHC17,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC9A3R1,MT-RNR2,,,,,,,,,,,,ENPP4,,,,,,,,,,,,,,,,,SKI,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFSD11,RPS6KA3,,,,,,,,,,,,KIF5B,,,,,,,,,,,,,,,,,FGL2,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMK2,GNL3L,,,,,,,,,,,,TRIM36,,,,,,,,,,,,,,,,,EIF2AK1,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IGFBP3,TCF7L2,,,,,,,,,,,,SLC26A2,,,,,,,,,,,,,,,,,EIF2B4,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLII,WASL,,,,,,,,,,,,KANK1,,,,,,,,,,,,,,,,,ANKRD17,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COX10,,,,,,,,,,,,,CACFD1,,,,,,,,,,,,,,,,,DERA,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2A,,,,,,,,,,,,,GOLGA2,,,,,,,,,,,,,,,,,TCAF2,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAG7,,,,,,,,,,,,,FAM102A,,,,,,,,,,,,,,,,,MAT2A,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUP88,,,,,,,,,,,,,DUOXA2,,,,,,,,,,,,,,,,,MAGI1,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPD,,,,,,,,,,,,,STK35,,,,,,,,,,,,,,,,,TNRC6A,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TNFAIP1,,,,,,,,,,,,,RBM17,,,,,,,,,,,,,,,,,DMBT1,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACSF2,,,,,,,,,,,,,RAB14,,,,,,,,,,,,,,,,,PVR,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XYLT2,,,,,,,,,,,,,COBLL1,,,,,,,,,,,,,,,,,KLF13,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPATCH8,,,,,,,,,,,,,ZDHHC5,,,,,,,,,,,,,,,,,SMIM7,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHM1,,,,,,,,,,,,,BCL9,,,,,,,,,,,,,,,,,IER2,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN1,,,,,,,,,,,,,PAPPA,,,,,,,,,,,,,,,,,FHOD1,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNMT3A,,,,,,,,,,,,,CTPS1,,,,,,,,,,,,,,,,,PSMA4,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITSN2,,,,,,,,,,,,,MFSD2A,,,,,,,,,,,,,,,,,PIK3CB,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LDAH,,,,,,,,,,,,,FBLIM1,,,,,,,,,,,,,,,,,ZFX,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLST,,,,,,,,,,,,,PGD,,,,,,,,,,,,,,,,,AMMECR1,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACC1,,,,,,,,,,,,,PPP1CB,,,,,,,,,,,,,,,,,ZC3H11A,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHOB,,,,,,,,,,,,,ANAPC4,,,,,,,,,,,,,,,,,MPV17L2,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREB1,,,,,,,,,,,,,PARM1,,,,,,,,,,,,,,,,,TSSC4,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HECTD1,,,,,,,,,,,,,SOWAHB,,,,,,,,,,,,,,,,,DPAGT1,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAZ1A,,,,,,,,,,,,,MXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDH11,,,,,,,,,,,,,CCND2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAP3K9,,,,,,,,,,,,,FCGBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLRX,,,,,,,,,,,,,PPFIBP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IQGAP2,,,,,,,,,,,,,URI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC4A7,,,,,,,,,,,,,CCND1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARHGEF3,,,,,,,,,,,,,SLC20A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
